,Unnamed: 0,Unnamed: 0.1,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name
72,72,79,2452376-452376 (2002 AC5),True,265.8,594.3468684194,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.860160,Earth,19.1764208552,69035.1150788215,An asteroid orbit contained entirely within the orbit of the Eart,2452376,452376 (2002 AC5)
73,73,80,3444551-(2009 BC11),False,92.1626548503,206.0819612321,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.864660,Earth,24.9558613049,89841.1006977167,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3444551,(2009 BC11)
74,74,81,3520662-(2010 JR34),False,7.6657557353,17.1411509231,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.790920,Earth,10.9692520182,39489.3072655639,Near Earth asteroid orbits similar to that of 2062 Aten,3520662,(2010 JR34)
75,75,82,3703538-(2015 AA44),False,44.1118199997,98.6370281305,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.845340,Earth,22.4420465229,80791.3674822838,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3703538,(2015 AA44)
76,76,83,3740931-(2016 BA15),False,11.6025908209,25.9441817907,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.810000,Earth,27.9092028908,100473.1304067126,Near Earth asteroid orbits similar to that of 1221 Amor,3740931,(2016 BA15)
77,77,84,3643994-(2013 LV28),False,461.9074602816,1032.8564805039,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.854940,Earth,25.5080689974,91829.0483906022,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3643994,(2013 LV28)
78,78,85,2250680-250680 (2005 QC5),True,305.1792325939,682.4015094011,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.820140,Earth,12.2268409668,44016.6274804832,An asteroid orbit contained entirely within the orbit of the Eart,2250680,250680 (2005 QC5)
79,79,86,3170204-(2003 YS17),True,127.2198785394,284.4722965033,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.797760,Earth,7.7685401427,27966.7445137333,An asteroid orbit contained entirely within the orbit of the Eart,3170204,(2003 YS17)
80,80,87,3401191-(2008 BP16),False,121.4940407996,271.6689340891,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.840840,Earth,18.0991616726,65156.9820213503,An asteroid orbit contained entirely within the orbit of the Eart,3401191,(2008 BP16)
81,81,89,3655395-(2013 YM2),False,19.2555078188,43.0566244241,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.826920,Earth,11.9321657219,42955.7965988119,An asteroid orbit contained entirely within the orbit of the Eart,3655395,(2013 YM2)
82,82,91,3893736-(2019 WD5),True,116.0259082094,259.4418179074,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.794520,Earth,14.2571658357,51325.7970085319,Near Earth asteroid orbits similar to that of 1221 Amor,3893736,(2019 WD5)
83,83,92,3837639-(2019 AT3),False,101.054341542,225.9643771094,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.416720,Earth,28.5824222435,102896.7200765568,An asteroid orbit contained entirely within the orbit of the Eart,3837639,(2019 AT3)
84,84,93,3753133-(2016 JU24),False,506.4714588346,1132.5046106177,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.440120,Earth,16.4888463368,59359.8468124886,An asteroid orbit contained entirely within the orbit of the Eart,3753133,(2016 JU24)
85,85,94,3837525-(2018 YK2),False,73.2073989347,163.696720474,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.396200,Earth,26.2464317638,94487.1543496955,An asteroid orbit contained entirely within the orbit of the Eart,3837525,(2018 YK2)
86,86,95,3797900-(2018 BJ5),False,127.2198785394,284.4722965033,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.406040,Earth,11.9652284017,43074.8222459735,Near Earth asteroid orbits similar to that of 2062 Aten,3797900,(2018 BJ5)
87,87,96,3704767-(2015 BE92),False,6.3760978988,14.2573883328,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.404840,Earth,16.0531518159,57791.3465371435,Near Earth asteroid orbits similar to that of 1221 Amor,3704767,(2015 BE92)
88,88,97,3797753-(2018 BV1),False,36.6906137531,82.0427064882,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.388280,Earth,15.980210136,57528.7564894243,An asteroid orbit contained entirely within the orbit of the Eart,3797753,(2018 BV1)
89,89,98,3836878-(2018 XP3),False,69.9125232246,156.3291544087,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.420620,Earth,8.8286222565,31783.0401233568,An asteroid orbit contained entirely within the orbit of the Eart,3836878,(2018 XP3)
90,90,99,3748182-(2016 FJ3),False,80.2703167283,179.4898847799,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.425180,Earth,13.299028136,47876.5012897044,An asteroid orbit contained entirely within the orbit of the Eart,3748182,(2016 FJ3)
