,Unnamed: 0,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description
56,61,3837932-(2019 AY13),False,84.0533402073,187.9489824394,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.938520,earth,18.2560546111,65721.7966001058,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
57,62,3837973-(2019 BO1),False,319.5618867213,714.5621017269,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.905580,earth,12.4614908455,44861.3670436585,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
58,63,2152964-152964 (2000 GP82),False,766.5755735311,1714.1150923063,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.001100,earth,10.7348065466,38645.3035676534,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
59,64,3263533-(2004 XG29),False,23.150212221,51.7654482198,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.006500,earth,17.1620093391,61783.2336206074, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
60,65,3736819-(2015 YE),False,55.5334911581,124.1766612574,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.009800,earth,18.7825458444,67617.1650396737, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
61,66,3361551-(2006 WR127),False,231.5021222103,517.6544821978,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.010940,earth,21.5193423706,77469.6325340826,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
62,67,3704145-(2015 AB246),False,80.2703167283,179.4898847799,1995-01-13 00:00:00.000000,1970-01-01 00:13:09.962340,earth,11.5094811181,41434.1320250948,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
63,68,3314052-(2006 BO55),False,211.1324447897,472.1064988055,1995-01-13 00:00:00.000000,1970-01-01 00:13:09.993720,earth,12.6021862577,45367.8705278892, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
64,69,2526742-526742 (2006 WR127),False,231.5021222103,517.6544821978,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.010940,earth,21.5193382684,77469.6177664031,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
65,70,3117420-(2002 EY2),True,366.9061375314,820.4270648822,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.703140,earth,18.9235619734,68124.8231042537,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
66,71,3620667-(2012 XP111),False,53.0340723319,118.5877908577,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.730620,earth,3.7998353604,13679.4072975604,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
67,72,2163023-163023 (2001 XU1),False,366.9061375314,820.4270648822,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.728400,earth,15.8881862568,57197.470524376,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
68,73,3366004-(2007 AA9),False,88.0146520901,196.8067450894,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.760140,earth,24.2888578981,87439.8884332712, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
69,74,3429684-(2008 TZ),False,22.1082810359,49.435619262,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.762000,earth,14.7612903218,53140.6451584192, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
70,77,3556126-(2011 BM45),True,127.2198785394,284.4722965033,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.702540,earth,21.9477292873,79011.8254344272,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
71,78,2526798-526798 (2007 AA9),False,88.0146520901,196.8067450894,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.760140,earth,24.2888578457,87439.8882443566, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
72,79,2452376-452376 (2002 AC5),True,265.8,594.3468684194,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.860160,earth,19.1764208552,69035.1150788215, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
73,80,3444551-(2009 BC11),False,92.1626548503,206.0819612321,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.864660,earth,24.9558613049,89841.1006977167,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
74,81,3520662-(2010 JR34),False,7.6657557353,17.1411509231,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.790920,earth,10.9692520182,39489.3072655639,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
75,82,3703538-(2015 AA44),False,44.1118199997,98.6370281305,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.845340,earth,22.4420465229,80791.3674822838,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
